text,sentiment
"Kualitas rata-rata, sesuai ekspektasi",neutral
"Tidak kecewa tapi juga tidak terlalu puas",neutral
"Produk ini cukup bagus untuk pemula",neutral
"Pengiriman normal, tidak ada kendala",neutral
"Barang sesuai deskripsi secara umum",neutral
"Seller cukup ramah dan melayani dengan baik",neutral
"Produk ini cukup membantu tapi tidak sempurna",neutral
"Harga standar, kualitas juga standar",neutral
"Barang berfungsi tapi ada fitur yang kurang",neutral
"Pengalaman belanja biasa saja",neutral
"Barang sudah diterima dalam kondisi baik",neutral
"Tidak ada keluhan khusus dengan produk ini",neutral
"Kualitas produk sesuai dengan harganya",neutral
"Pelayanan cukup baik tapi tidak istimewa",neutral
"Pengiriman seperti biasa, tidak ada masalah",neutral
"Produk ini lumayan untuk harganya",neutral
"Barang cukup bagus tapi bukan yang terbaik",neutral
"Seller biasa saja dalam melayani",neutral
"Kualitas produk tidak mengecewakan tapi juga tidak wow",neutral
"Pesanan sampai sesuai jadwal",neutral
"Barang oke untuk penggunaan biasa",neutral
"Cukup puas dengan pembelian ini",neutral
"Produk ini sesuai kebutuhan dasar saya",neutral
"Toko ini cukup reliable untuk belanja online",neutral
"Barang diterima dengan kondisi normal",neutral
"Kualitas standar seperti produk sejenis lainnya",neutral
"Pengiriman menggunakan kurir reguler",neutral
"Tidak ada masalah selama proses pembelian",neutral
"Produk ini cukup worth it untuk dicoba",neutral
"Barang berfungsi sebagaimana mestinya",neutral
"Pelayanan cukup memuaskan secara keseluruhan",neutral
"Produk biasa saja untuk kategori ini",neutral
"Barang sampai dan sesuai pesanan secara umum",neutral
"Kualitas cukup baik untuk harga yang ditawarkan",neutral
